Date,Price,High,Low,Close,,Volume
03-09-2023,1637.043579,1645.645142,1626.089233,1636.117676,,3151878318
04-09-2023,1635.724731,1642.653198,1618.523682,1629.655273,,3887968912
05-09-2023,1629.911011,1645.948364,1610.141235,1633.629395,,4417491902
06-09-2023,1633.912109,1656.932739,1611.147705,1632.252319,,4987397046
07-09-2023,1632.262817,1657.303711,1623.220459,1647.598267,,4907290296
08-09-2023,1647.807617,1657.136353,1617.796509,1636.137817,,4598495496
09-09-2023,1636.050415,1636.870728,1629.660889,1635.162354,,2081625742
10-09-2023,1635.21167,1635.433105,1604.040527,1616.828857,,4339499949
11-09-2023,1616.769775,1618.305786,1533.426758,1551.637695,,7693700923
12-09-2023,1551.497803,1619.114014,1549.493774,1592.429443,,6813819740
13-09-2023,1592.892334,1615.050293,1582.217529,1607.988525,,4979469106
14-09-2023,1608.031616,1640.522705,1607.735352,1626.974365,,5538958553
15-09-2023,1626.870117,1652.113159,1613.248657,1641.640381,,4348584771
16-09-2023,1641.446411,1649.988647,1632.577881,1635.22168,,2819575929
17-09-2023,1635.20105,1635.512939,1616.779297,1622.896729,,3032716258
18-09-2023,1623.081909,1669.015381,1609.957397,1637.347046,,5916674789
19-09-2023,1637.312012,1659.531738,1628.413208,1643.544678,,4405868861
20-09-2023,1643.495361,1649.619141,1610.420776,1622.890625,,5156431986
21-09-2023,1622.591797,1625.20459,1573.305786,1584.307007,,5191732312
22-09-2023,1584.002563,1601.53772,1579.101318,1593.268311,,3460791634
23-09-2023,1593.213135,1598.001709,1588.328979,1593.857788,,2101436678
24-09-2023,1593.825684,1600.207275,1576.783325,1580.853394,,3086456944
25-09-2023,1580.747437,1595.844116,1565.025513,1588.322876,,4394930984
26-09-2023,1588.023193,1598.097778,1580.165527,1593.417236,,3544861160
27-09-2023,1593.108276,1631.910767,1585.368896,1597.491211,,5533036096
28-09-2023,1597.671997,1666.02417,1597.294678,1652.88269,,6658092168
29-09-2023,1652.999878,1687.28125,1648.656494,1667.943848,,5529687537
30-09-2023,1667.834473,1692.531128,1666.563843,1671.161865,,3155292192
01-10-2023,1671.161499,1750.595703,1670.082153,1733.810425,,5054880180
02-10-2023,1732.984009,1743.563599,1646.077637,1663.627563,,8420552922
03-10-2023,1662.887207,1670.356323,1644.49646,1656.685669,,4742827302
04-10-2023,1656.735962,1657.25354,1629.426636,1647.838135,,5127524863
05-10-2023,1647.788208,1654.379028,1609.849976,1611.47644,,5403759057
06-10-2023,1611.365723,1659.609863,1611.365723,1645.831543,,4941208729
07-10-2023,1645.810913,1648.183716,1631.158203,1634.51123,,2578994988
08-10-2023,1634.657349,1641.182373,1618.189209,1633.548584,,3315554175
09-10-2023,1633.454834,1635.447876,1553.006958,1579.806641,,7020801716
10-10-2023,1580.112061,1593.741333,1553.031738,1567.713013,,5254966125
11-10-2023,1567.680786,1578.223511,1548.980469,1566.254761,,5416504273
12-10-2023,1566.355957,1566.878174,1523.237549,1539.612427,,5003930677
13-10-2023,1539.432861,1571.75061,1537.921143,1552.089478,,4575141511
14-10-2023,1552.263794,1560.325073,1545.73877,1555.256836,,2429214718
15-10-2023,1555.07605,1565.760864,1550.554565,1558.069824,,2923337883
16-10-2023,1558.313477,1628.15625,1555.989624,1600.534302,,8846928526
17-10-2023,1600.63562,1601.294678,1554.402954,1565.439575,,5032686973
18-10-2023,1565.382813,1584.726929,1556.736328,1563.749878,,4354138855
19-10-2023,1563.95813,1573.737671,1543.585083,1567.457031,,5035110867
20-10-2023,1567.570923,1628.609009,1562.302856,1604.66687,,6747486127
21-10-2023,1604.822266,1641.241821,1593.447998,1629.304443,,4212179634
22-10-2023,1629.297729,1667.666626,1623.984741,1663.429932,,5248406817
23-10-2023,1674.849243,1794.070435,1663.447998,1765.38269,,14362295879
24-10-2023,1766.014648,1852.684448,1758.690063,1784.4375,,15888690475
25-10-2023,1784.905029,1814.484741,1762.147095,1787.397583,,9439066475
26-10-2023,1787.481934,1865.095215,1764.013062,1804.039307,,11196672635
27-10-2023,1803.794922,1804.135864,1751.440063,1780.045288,,7493399771
28-10-2023,1780.084229,1800.605347,1773.436646,1776.618164,,4226112731
29-10-2023,1776.563965,1810.488647,1766.052979,1795.546021,,4358528382
30-10-2023,1795.589111,1829.249512,1779.364502,1810.088623,,7534051038
31-10-2023,1810.131592,1819.972656,1784.567627,1816.458984,,6477922747
01-11-2023,1815.87207,1858.312866,1786.409546,1847.089722,,10628825648
02-11-2023,1847.259888,1873.88501,1790.114746,1800.620972,,9004197724
03-11-2023,1800.916504,1835.07251,1779.635498,1832.795166,,7622864055
04-11-2023,1833.368896,1867.261353,1825.736572,1857.698608,,4845080427
05-11-2023,1857.39563,1911.608643,1848.620117,1894.157715,,8867152645
06-11-2023,1894.0271,1914.582642,1871.973022,1899.837402,,8104122602
07-11-2023,1900.599731,1907.561401,1852.790894,1888.124268,,9203228152
08-11-2023,1887.119019,1904.546265,1874.545654,1889.322388,,6751627017
09-11-2023,1888.940308,2130.885254,1884.204346,2120.561035,,24709695029
10-11-2023,2121.067383,2134.691406,2068.134277,2078.289795,,14740624457
11-11-2023,2078.05835,2089.530518,2035.082153,2052.713867,,10228351203
12-11-2023,2053.118652,2066.003418,2019.028076,2045.187012,,7951011698
13-11-2023,2045.354492,2116.010742,2031.954224,2055.265381,,14322027970
14-11-2023,2054.765381,2065.066895,1939.280396,1979.052612,,13087862495
15-11-2023,1979.472656,2061.991699,1968.774658,2060.408447,,12626326991
16-11-2023,2059.96582,2088.662354,1940.574219,1960.881592,,14651619483
17-11-2023,1961.867554,1990.050537,1910.445435,1961.280762,,11881648738
18-11-2023,1961.671265,1971.46228,1921.062378,1963.285034,,8064677046
19-11-2023,1963.180054,2015.633911,1944.900879,2013.204468,,7716048818
20-11-2023,2011.853394,2066.409912,1996.044312,2022.239136,,12866464824
21-11-2023,2022.217285,2035.035889,1937.066772,1937.066772,,13653500841
22-11-2023,1933.58313,2089.51416,1933.162964,2064.425293,,13372200584
23-11-2023,2063.905518,2088.031982,2041.464233,2062.210693,,7828437946
24-11-2023,2062.411865,2132.481201,2060.999023,2081.1521,,12141148820
25-11-2023,2081.296143,2091.342773,2067.917236,2084.413086,,5362623390
26-11-2023,2084.17749,2094.095947,2038.600464,2063.286133,,8054814154
27-11-2023,2062.390869,2070.606201,1988.120361,2027.417358,,10574810069
28-11-2023,2027.517212,2074.954102,1996.814697,2049.338135,,9910633038
29-11-2023,2049.186768,2071.994385,2020.756592,2029.929199,,8945151861
30-11-2023,2029.358398,2054.444336,2022.461792,2052.556152,,8107789163
01-12-2023,2052.09668,2109.319092,2046.557007,2087.139893,,10866891430
02-12-2023,2087.663574,2182.817871,2087.407959,2165.704102,,9130124831
